ID	FILE	AUTHOR	BORN-DIED	TITLE	DATE	TECHNIQUE	LOCATION	FORM	TYPE	SCHOOL	TIMELINE	URL
51	51.jpg	ADEMOLLO, Luigi	(b. 1764, Milano, d. 1849, Firenze)	View of the Room of the Ark	1816	Fresco	Galleria Palatina (Palazzo Pitti), Florence	painting	religious	Italian	1801-1850	http://www.wga.hu/html/a/ademollo/ark.html
52	52.jpg	ADEMOLLO, Luigi	(b. 1764, Milano, d. 1849, Firenze)	View of the Room of the Ark	1816	Fresco	Galleria Palatina (Palazzo Pitti), Florence	painting	interior	Italian	1801-1850	http://www.wga.hu/html/a/ademollo/ark1.html
53	53.jpg	ADEMOLLO, Luigi	(b. 1764, Milano, d. 1849, Firenze)	The Menorah	1816	Fresco	Galleria Palatina (Palazzo Pitti), Florence	painting	religious	Italian	1801-1850	http://www.wga.hu/html/a/ademollo/ark2.html
54	54.jpg	ADEMOLLO, Luigi	(b. 1764, Milano, d. 1849, Firenze)	Transportation of the Ark of the Covenant Containing the Tablets of the Law	1816	Fresco	Galleria Palatina (Palazzo Pitti), Florence	painting	religious	Italian	1801-1850	http://www.wga.hu/html/a/ademollo/ark3.html
55	55.jpg	ADEMOLLO, Luigi	(b. 1764, Milano, d. 1849, Firenze)	View of the Palatine Chapel	1800s	Fresco	Galleria Palatina (Palazzo Pitti), Florence	painting	interior	Italian	1801-1850	http://www.wga.hu/html/a/ademollo/chapel.html
56	56.jpg	ADEMOLLO, Luigi	(b. 1764, Milano, d. 1849, Firenze)	Episodes in Roman History	1820s	Fresco	Palazzo Ducale, Lucca	painting	historical	Italian	1801-1850	http://www.wga.hu/html/a/ademollo/lucca1.html
57	57.jpg	ADEMOLLO, Luigi	(b. 1764, Milano, d. 1849, Firenze)	Episodes in Roman History	1820s	Fresco	Palazzo Ducale, Lucca	painting	historical	Italian	1801-1850	http://www.wga.hu/html/a/ademollo/lucca2.html
58	58.jpg	ADEMOLLO, Luigi	(b. 1764, Milano, d. 1849, Firenze)	Episodes in Roman History	1820s	Fresco	Palazzo Ducale, Lucca	painting	historical	Italian	1801-1850	http://www.wga.hu/html/a/ademollo/lucca3.html
59	59.jpg	ADEMOLLO, Luigi	(b. 1764, Milano, d. 1849, Firenze)	Fresco decoration (detail)	1800-10	Fresco	Palazzo Bianchi-Bandinelli, Siena	painting	historical	Italian	1801-1850	http://www.wga.hu/html/a/ademollo/siena1.html
60	60.jpg	ADEMOLLO, Luigi	(b. 1764, Milano, d. 1849, Firenze)	Fresco decoration (detail)	1800-10	Fresco	Palazzo Bianchi-Bandinelli, Siena	painting	historical	Italian	1801-1850	http://www.wga.hu/html/a/ademollo/siena2.html
61	61.jpg	ADEMOLLO, Luigi	(b. 1764, Milano, d. 1849, Firenze)	Fresco decoration (detail)	1800-10	Fresco	Palazzo Bianchi-Bandinelli, Siena	painting	historical	Italian	1801-1850	http://www.wga.hu/html/a/ademollo/siena3.html
62	62.jpg	ADLER, Salomon	(b. 1630, Danzig, d. 1709, Milano)	Self-Portrait	1650s	Oil on canvas, 74 x 60 cm	Private collection	painting	portrait	German	1651-1700	http://www.wga.hu/html/a/adler/selfport.html
63	63.jpg	ADOLPHI, Christoffel	(b. ca. 1631, Augusburg, d. 1680, Amsterdam)	Commemorative Medal for Admiral Michiel Adriaensz. de Ruyter	1676	Silver, struck and embossed, diameter 7 cm	Private collection	sculpture	historical	Dutch	1651-1700	http://www.wga.hu/html/a/adolphi/ruyter.html
64	64.jpg	ADRIAENSSEN, Alexander	(b. 1587, Antwerpen, d. 1661, Antwerpen)	Fish and Dead Game	1643	Oil on canvas, 58 x 87 cm	The Hermitage, St. Petersburg	painting	still-life	Flemish	1601-1650	http://www.wga.hu/html/a/adriaens/fishgame.html
65	65.jpg	ADRIAENSSEN, Alexander	(b. 1587, Antwerpen, d. 1661, Antwerpen)	Still-Life with Fish	-	Oil on oak panel, 55 x 75,6 cm	Groeninge Museum, Bruges	painting	still-life	Flemish	1601-1650	http://www.wga.hu/html/a/adriaens/stilfish.html
66	66.jpg	ADRIAENSSEN, Alexander	(b. 1587, Antwerpen, d. 1661, Antwerpen)	Still-Life with Flowers in a Glass Vase	c. 1650	Oil on panel, 54 x 43 cm	Private collection	painting	still-life	Flemish	1601-1650	http://www.wga.hu/html/a/adriaens/stilflow.html
67	67.jpg	ADRIAENSSEN, Alexander	(b. 1587, Antwerpen, d. 1661, Antwerpen)	Still-Life	1646	Oil on panel, 44 x 64 cm	Private collection	painting	still-life	Flemish	1601-1650	http://www.wga.hu/html/a/adriaens/stillife.html
68	68.jpg	ADRIAENSSEN, Alexander	(b. 1587, Antwerpen, d. 1661, Antwerpen)	Still-Life with Oysters	1630s	Oil on oak panel, 44 x 36 cm	Národní Galerie, Prague	painting	still-life	Flemish	1601-1650	http://www.wga.hu/html/a/adriaens/stiloyst.html
69	69.jpg	ADRIANO FIORENTINO	(b. ca. 1455, Firenze, d. 1499, Firenze)	Elector Frederick III of Saxony, Called Frederick the Wise	1498	Brass, height 62 cm	Staatliche Kunstsammlungen, Dresden	sculpture	portrait	Italian	1451-1500	http://www.wga.hu/html/a/adriano/frederic.html
70	70.jpg	ADRIANO FIORENTINO	(b. ca. 1455, Firenze, d. 1499, Firenze)	Medal of Ferdinand II	c. 1494	Bronze, diameter 8 cm	National Gallery of Art, Washington	sculpture	portrait	Italian	1451-1500	http://www.wga.hu/html/a/adriano/medal.html
71	71.jpg	ADRIANO FIORENTINO	(b. ca. 1455, Firenze, d. 1499, Firenze)	Giovanni Gioviano Pontano	1488-94	Bronze, height 50 cm	Museo di Sant'Agostino, Genoa	sculpture	portrait	Italian	1451-1500	http://www.wga.hu/html/a/adriano/pontano1.html
72	72.jpg	ADRIANO FIORENTINO	(b. ca. 1455, Firenze, d. 1499, Firenze)	Giovanni Gioviano Pontano	1488-94	Marble, 51 x 33 cm	Metropolitan Museum of Art, New York	sculpture	portrait	Italian	1451-1500	http://www.wga.hu/html/a/adriano/pontano2.html
73	73.jpg	ADRIANO FIORENTINO	(b. ca. 1455, Firenze, d. 1499, Firenze)	Giovanni Gioviano Pontano	c. 1488	Cast copper alloy, diameter 9 cm	National Gallery of Art, Washington	sculpture	portrait	Italian	1451-1500	http://www.wga.hu/html/a/adriano/pontano3.html
74	74.jpg	ADRIANO FIORENTINO	(b. ca. 1455, Firenze, d. 1499, Firenze)	Venus	1490s	Bronze, height 42 cm (with base)	Museum of Art, Philadelphia	sculpture	mythological	Italian	1451-1500	http://www.wga.hu/html/a/adriano/venus.html
75	75.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Breakfast Piece	1671	Oil on canvas, 49 x 41 cm	Akademie der bildenden Künste, Vienna	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/breakfas.html
76	76.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Hunting Equipment and Dead Birds	1668	Oil on canvas, 68 x 54 cm	Staatliche Kunsthalle, Karlsruhe	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/deadbird.html
77	77.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Hunting Still-Life	c. 1665	Oil on canvas, 65,5 x 52,7 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/hunting.html
78	78.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Hunting Still-Life (detail)	c. 1665	Oil on canvas	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/hunting2.html
79	79.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life of Fruit	c. 1660	Oil on canvas, 47 x 52 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stil_fru.html
80	80.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with a Basket of Fruit on a Marble Ledge	1650	Oil on canvas, 38 x 50 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stilbask.html
81	81.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life	1675	Oil on canvas, 40 x 32 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stilflow.html
82	82.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Fruit	1653	Oil on canvas, 77 x 102 cm	Galleria Palatina (Palazzo Pitti), Florence	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stilfrui.html
83	83.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Fruit and Crystal Vase	1652	Oil on canvas, 73 x 58 cm	Galleria Palatina (Palazzo Pitti), Florence	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/still_fr.html
84	84.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life	c. 1645	Oil on panel, 41 x 32 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/still_li.html
85	85.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Fruit	1664	Oil on canvas, 67 x 52 cm	Museo Thyssen-Bornemisza, Madrid	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stillfru.html
86	86.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life	1660s	Oil on canvas, 64 x 53 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stillif.html
87	87.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Flower Still-Life	1677	Oil on canvas, 58 x 47 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stillife.html
88	88.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Fruit Still-Life	1677	Oil on canvas, 58 x 47 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stilliff.html
89	89.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Fruit, Parrot, and Nautilus Pitcher	1653	Oil on canvas, 77 x 102 cm	Galleria Palatina (Palazzo Pitti), Florence	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stillpar.html
90	90.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Peaches and Plums	1644	Oil on panel, octagonal, 23 x 30 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stillpea.html
91	91.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Mouse and Candle	1647	Oil on copper, 19 x 25 cm	Private collection	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stilmous.html
92	92.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Fruit and a Crystal Vase	c. 1650	Oil on canvas, 77 x 102 cm	Galleria Palatina (Palazzo Pitti), Florence	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/stilvase.html
93	93.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Vase of Flowers with Pocket Watch	1656	Oil on canvas	Staatliche Museen, Kassel	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/vasewatc.html
94	94.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life of Dead Birds and Hunting Weapons	1660	Oil on canvas, 86,5 x 68 cm	Staatliche Museen, Berlin	painting	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/weapons.html
95	95.jpg	AELST, Willem van	(b. 1627, Delft, d. ca. 1683, Amsterdam)	Still-Life with Armour	1635-41	Black chalk on vellum, 110 x 155 m	Fogg Art Museum, Harvard University, Cambridge	graphics	still-life	Dutch	1651-1700	http://www.wga.hu/html/a/aelst/z_armour.html
96	96.jpg	AENVANCK, Theodoor	(b. 1633, Antwerpen, d. 1690, Antwerpen)	Fruit	1653	Oil on panel, 63 x 80 cm	Koninklijk Museum voor Schone Kunsten, Antwerp	painting	still-life	Flemish	1651-1700	http://www.wga.hu/html/a/aenvanck/fruit.html
97	97.jpg	AERT VAN ORT	(active 1490-1536)	Susanna and the Elders	1520-25	Stained glass, diameter 24 cm	Metropolitan Museum of Art, New York	stained-glass	religious	Netherlandish	1501-1550	http://www.wga.hu/html/a/aert/susanna.html
98	98.jpg	AERTSEN, Pieter	(b. 1508, Amsterdam, d. 1575, Amsterdam)	Apostles Peter and John	1575	Oil on wood, 55,5 x 76 cm cm	The Hermitage, St. Petersburg	painting	religious	Netherlandish	1501-1550	http://www.wga.hu/html/a/aertsen/apostles.html
99	99.jpg	AERTSEN, Pieter	(b. 1508, Amsterdam, d. 1575, Amsterdam)	Christ and the Adulteress	1557-58	Oil on wood, 122 x 178 cm	Nationalmuseum, Stockholm	painting	religious	Flemish	1501-1550	http://www.wga.hu/html/a/aertsen/christ.html
100	100.jpg	AERTSEN, Pieter	(b. 1508, Amsterdam, d. 1575, Amsterdam)	Christ and the Adulteress	1559	Oil on wood, 122 x 177 cm	Städelsches Kunstinstitut, Frankfurt	painting	still-life	Netherlandish	1501-1550	http://www.wga.hu/html/a/aertsen/christ_a.html
101	101.jpg	AERTSEN, Pieter	(b. 1508, Amsterdam, d. 1575, Amsterdam)	Cook in front of the Stove	1559	Oil on wood, 172,5 x 82 cm	Musées Royaux des Beaux-Arts, Brussels	painting	genre	Netherlandish	1501-1550	http://www.wga.hu/html/a/aertsen/cook.html
102	102.jpg	AERTSEN, Pieter	(b. 1508, Amsterdam, d. 1575, Amsterdam)	The Cook	1550	Oil on canvas	Palazzo Bianco, Genoa	painting	genre	Netherlandish	1501-1550	http://www.wga.hu/html/a/aertsen/cook1.html
103	103.jpg	AERTSEN, Pieter	(b. 1508, Amsterdam, d. 1575, Amsterdam)	The Egg Dance	1552	Oil on panel, 84 x 172 cm	Rijksmuseum, Amsterdam	painting	genre	Flemish	1501-1550	http://www.wga.hu/html/a/aertsen/egg-danc.html
